Bitumen,,
,,
Density,[kg/m^3],885.65
Temperature,[C],50
Dynamic Viscosity,[Pa s],10
,,
 Z [ m ], Pressure [ MPa ],Velocity [ m s^-1 ]
0.462000966,-2.05168E-06,0.001862239
0.459830105,1.36847E-05,0.001577431
0.457659245,4.2128E-05,0.001020114
0.455488384,5.92928E-05,0.00080436
0.453317523,8.17216E-05,0.000732843
0.451146662,9.71037E-05,0.000710471
0.448975801,0.000110224,0.000776533
0.446804941,0.000141163,0.001003196
0.44463408,0.000150926,0.001078235
0.442463219,0.000170338,0.001078874
0.440292358,0.000201072,0.001113773
0.438121498,0.000209246,0.001124118
0.435950637,0.000229926,0.001006089
0.433779776,0.000259827,0.000922065
0.431608915,0.000267846,0.000907279
0.429438055,0.000280934,0.000842891
0.427267194,0.000301866,0.000749686
0.425096333,0.00031536,0.000685815
0.422925472,0.000346791,0.00054822
0.420754611,0.000361238,0.000482517
0.418583751,0.000378249,0.00038091
0.41641289,0.000407112,0.000205383
0.414242029,0.000411476,0.000181128
0.412071168,0.000445886,4.16432E-05
0.409900308,0.000460384,4.32239E-05
0.407729447,0.000471638,7.436E-05
0.405558586,0.000505559,0.000180478
0.403387725,0.000516684,0.000210636
0.401216865,0.000530721,0.000238377
0.399046004,0.000542449,0.000300618
0.396875143,0.00057605,0.000288649
0.394704282,0.000588103,0.000203038
0.392533422,0.000600948,0.000138687
0.390362561,0.000634638,0.000146472
0.3881917,0.000645277,0.000142655
0.386020839,0.000659285,0.000191309
0.383849978,0.000670741,0.000206739
0.381679118,0.000706117,0.000218457
0.379508257,0.000719988,0.000239403
0.377337396,0.00073426,0.000259614
0.375166535,0.00077002,0.000343739
0.372995675,0.000781054,0.000378779
0.370824814,0.000795592,0.000370658
0.368653953,0.000806808,0.000397324
0.366483092,0.000840959,0.000461302
0.364312232,0.000854086,0.000480583
0.362141371,0.00086718,0.000510533
0.35997051,0.00090075,0.000613896
0.357799649,0.000911608,0.000643089
0.355628788,0.00092564,0.000676718
0.353457928,0.000936179,0.000702628
0.351287067,0.000969918,0.000725398
0.349116206,0.000983233,0.000716517
0.346945345,0.000996048,0.000711689
0.344774485,0.001029778,0.000736173
0.342603624,0.00104117,0.000761155
0.340432763,0.001055393,0.000808086
0.338261902,0.001065814,0.000833383
0.336091042,0.001100463,0.000992795
0.333920181,0.001114266,0.001082919
0.33174932,0.001127021,0.001162696
0.329578459,0.001161095,0.001342072
0.327407598,0.001172904,0.001400095
0.325236738,0.001187121,0.001485009
0.323065877,0.001197174,0.001535522
0.320895016,0.001232074,0.001689501
0.318724155,0.001246077,0.001746777
0.316553295,0.001258488,0.001798552
0.314382434,0.001292745,0.001929692
0.312211573,0.001305048,0.001975635
0.310040712,0.001319252,0.002031881
0.307869852,0.001354581,0.00218531
0.305698991,0.001364336,0.002229955
0.30352813,0.00137831,0.002292186
0.301357269,0.001390076,0.002342274
0.299186409,0.00142381,0.002460481
0.297015548,0.001436183,0.002495646
0.294844687,0.001449943,0.002533505
0.292673826,0.001484794,0.002599167
0.290502965,0.001495042,0.002608021
0.288332105,0.001509099,0.002619694
0.286161244,0.001520441,0.002631213
0.283990383,0.00155464,0.002647287
0.281819522,0.001567251,0.002646178
0.279648662,0.001579879,0.002645148
0.277477801,0.001614938,0.002666398
0.27530694,0.001626116,0.002681749
0.273136079,0.001639336,0.00270435
0.270965219,0.001672561,0.002789058
0.268794358,0.001682693,0.002823555
0.266623497,0.001697116,0.002873935
0.264452636,0.001727708,0.003001363
0.262281775,0.001736441,0.003047559
0.260110915,0.001751388,0.003127744
0.257940054,0.00176099,0.003178029
0.255769193,0.001793728,0.003395088
0.253598332,0.001809604,0.003513776
0.251427472,0.001821105,0.00359999
0.249256611,0.001853716,0.003832803
0.24708575,0.001868835,0.003938966
0.244914889,0.001882717,0.004038129
0.242744029,0.001913415,0.004230984
0.240573168,0.001926061,0.004296975
0.238402307,0.001942217,0.004381422
0.236231446,0.001974742,0.004539847
0.234060585,0.001983549,0.004577071
0.231889725,0.001999848,0.004646157
0.229718864,0.00201281,0.004701091
0.227548003,0.002042937,0.004827163
0.225377142,0.002056594,0.004883693
0.223206282,0.002072696,0.004950428
0.221035421,0.002104718,0.005089554
0.21886456,0.002114263,0.005134039
0.216693699,0.00213094,0.005211805
0.214522839,0.002143466,0.005270213
0.212351978,0.002173974,0.005435376
0.210181117,0.002188313,0.005522525
0.208010256,0.00220441,0.005620378
0.205839396,0.002236032,0.00581815
0.203668535,0.002245918,0.005882669
0.201497674,0.002262729,0.005992401
0.199326813,0.002275137,0.006073656
0.197155952,0.002305222,0.006266591
0.194985092,0.002319447,0.00635632
0.192814231,0.002335661,0.006459018
0.19064337,0.002369069,0.006630006
0.188472509,0.002380311,0.006659814
0.186301649,0.002401826,0.006699766
0.184130788,0.002420885,0.006704533
0.181959927,0.002426555,0.006718313
0.179789066,0.00245256,0.006804072
0.177618206,0.002479746,0.006840736
0.175447345,0.002485805,0.006868194
0.173276484,0.002509912,0.007045723
0.171105623,0.002535457,0.007208963
0.168934762,0.002542035,0.007237445
0.166763902,0.002568953,0.00730261
0.164593041,0.002586327,0.007346054
0.16242218,0.002604679,0.007319792
0.160251319,0.002621644,0.007262146
0.158080459,0.002644497,0.007150925
0.155909598,0.002660722,0.0070137
0.153738737,0.002674605,0.006884944
0.151567876,0.002695082,0.006851596
0.149397016,0.002717038,0.006825016
0.147226155,0.002732497,0.006780114
0.145055294,0.00275191,0.006750401
0.142884433,0.002768119,0.006769416
0.140713573,0.002788491,0.00680622
0.138542712,0.002810657,0.006887691
0.136371851,0.002825594,0.007016576
0.13420099,0.00284469,0.007191453
0.132030129,0.002860068,0.007341444
0.129859269,0.002881731,0.007567015
0.127688408,0.002902297,0.007793928
0.125517547,0.002918092,0.007981501
0.123346694,0.002937677,0.008225472
0.12117584,0.002961072,0.008531609
0.119004987,0.00297498,0.008725217
0.116834134,0.002994385,0.009010625
0.114663281,0.003010141,0.009258598
0.112492427,0.003030966,0.009612059
0.110321574,0.003052357,0.009996593
0.108150721,0.003067795,0.010294125
0.105979867,0.003087117,0.010688216
0.103809014,0.003101717,0.010999943
0.101638161,0.003124363,0.011485879
0.099467307,0.003144315,0.011940822
0.097296454,0.003160368,0.012344388
0.095125601,0.003180367,0.012894331
0.092954747,0.003203002,0.013549035
0.090783894,0.003217716,0.013981331
0.088613041,0.003236983,0.014569682
0.086442187,0.003252637,0.015070039
0.084271334,0.00327406,0.015819985
0.082100481,0.003295218,0.016623752
0.079929628,0.003311162,0.017300507
0.077758774,0.003330737,0.018163353
0.075587921,0.003345407,0.018829158
0.073417068,0.003368837,0.020006737
0.071246214,0.003389351,0.021111008
0.069075361,0.003405867,0.022060176
0.066904508,0.003427098,0.023361642
0.064733654,0.003450532,0.024906859
0.062562801,0.003466457,0.02608675
0.060391948,0.003486833,0.027721368
0.058221094,0.003502974,0.029121589
0.056050241,0.003526606,0.031358179
0.053879388,0.003549522,0.033541307
0.051708534,0.003568553,0.035292223
0.049537681,0.003599775,0.037410315
0.047366828,0.003647283,0.039752103
0.045195974,0.003694861,0.041207291
0.043025121,0.003786674,0.04347989
0.040854268,0.003876385,0.045289483
0.038683415,0.004076127,0.051196907
0.036512561,0.004238196,0.071233816
0.034341708,0.00441406,0.125373259
0.032170855,0.004010154,0.226727262
0.029999999,0.003525892,0.345652223
0.029999979,0.003525892,0.345652252
0.029387735,0.003376324,0.382047415
0.028775491,0.003237786,0.419168413
0.028163247,0.003108167,0.456832677
0.027551003,0.002985984,0.49490118
0.026938759,0.002869697,0.533237934
0.026326515,0.002806591,0.560595393
0.025714271,0.002761984,0.584763229
0.025102027,0.002719888,0.609253407
0.024489783,0.002680083,0.633978546
0.023877539,0.002642373,0.658905208
0.023265295,0.002635838,0.669904649
0.022653051,0.002631373,0.67943567
0.022040807,0.002627811,0.689040959
0.021428563,0.002624249,0.698752999
0.020816319,0.002620173,0.708226681
0.020204075,0.002619554,0.717327178
0.019591831,0.002625295,0.719285071
0.018979587,0.002632082,0.720903397
0.018367343,0.002637331,0.723833025
0.017755099,0.002642002,0.727089822
0.017142855,0.00264667,0.730446458
0.016530611,0.002651099,0.733023703
0.015918367,0.002653251,0.729986608
0.015306123,0.00265503,0.727003813
0.014693878,0.002656477,0.724059403
0.014081633,0.002657641,0.721142173
0.013469388,0.002658585,0.718241453
0.012857143,0.002664661,0.710520804
0.012244898,0.002674318,0.69994396
0.011632653,0.002684972,0.68929255
0.011020408,0.002695289,0.677701831
0.010408163,0.002705868,0.665837646
0.009795918,0.002715554,0.652222991
0.009183673,0.002722539,0.633743227
0.008571428,0.002729526,0.615332901
0.007959183,0.002736513,0.596992791
0.007346939,0.0027435,0.578724086
0.006734694,0.002750818,0.559626818
0.006122449,0.002760445,0.533958375
0.005510204,0.002770092,0.508302748
0.004897959,0.002779759,0.482661337
0.004285714,0.002789446,0.457035601
0.003673469,0.002799154,0.431427658
0.003061224,0.002813081,0.40025562
0.00244898,0.002829672,0.365574479
0.001836735,0.002846285,0.330897003
0.00122449,0.002862919,0.296223342
0.000612245,0.002879574,0.261553407
0,0.002896249,0.226887479
